restaurant,cuisines,city,longitude,latitude,price,"aggregate rating"
"Gabbar Meals","North Indian, Mughlai",Gurgaon,77.0726806,28.459424,5.850,3.4
McDonald's,"Fast Food, Burger",Gurgaon,77.0727706,28.4594327,6.500,2.7
"Crust Bistro","Italian, Pizza",Gurgaon,77.07272552,28.45938349,10.400,3.6
"Dunkin' Donuts","Burger, Desserts, Fast Food",Gurgaon,77.0727706,28.4594327,7.800,3.6
"Kabab Roll Cafe","North Indian, Mughlai",Gurgaon,77.0727256,28.4593835,7.800,3.8
Starbucks,Cafe,Gurgaon,77.0725008,28.4588688,9.100,3.8
"Eggers Madhouse","Fast Food",Gurgaon,77.0726806,28.459424,6.500,4
"Gallery Caf刺 - Hyatt Place",Cafe,Gurgaon,77.065948,28.5008981,19.500,3.8
"Coffee to Cocktail Bar - Hyatt Place","Drinks Only",Gurgaon,77.0659784,28.5008454,27.300,0
"Spice It - Hotel IBIS","Fast Food, North Indian, Chinese",Gurgaon,77.0993934,28.4470228,13.000,2.7
Nukkadwala,"Fast Food, Street Food",Gurgaon,77.038187,28.419985,3.900,3.4
"Power Play Resto Bar","North Indian, American, Italian",Gurgaon,77.088553,28.4797315,24.050,2.8
Daikichi,Japanese,Gurgaon,77.0886879,28.4797893,13.000,3.6
"The Atrium - By Jukaso It Suites","Asian, Bakery",Gurgaon,77.0536264,28.4725545,19.500,2.8
"Delhi - Kingdom of Dreams","Street Food",Gurgaon,77.0679481,28.4679413,6.500,3.7
"Lucknow - Kingdom of Dreams",Lucknowi,Gurgaon,77.0683484,28.4684937,13.000,3.7
"Longitude 77뙾03' Bar - Le Meridien Gurgaon","Finger Food",Gurgaon,77.1081995,28.4805868,20.800,3.4
"I-Kandy - Le Meridien Gurgaon","Finger Food",Gurgaon,77.1087266,28.481264,58.500,3.6
"Bella Cucina - Le Meridien Gurgaon",Italian,Gurgaon,77.1087258,28.4812481,52.000,4.1
"Bar Code - Leisure Inn","Finger Food",Gurgaon,77.0395172,28.4705263,24.700,3
"Bites - Leisure Inn","North Indian, Continental, Asian",Gurgaon,77.0395353,28.4705061,18.200,3
"Outback Bar and Grill - Leisure Inn","North Indian, Finger Food",Gurgaon,77.0396702,28.4704989,15.600,3
"Citrus Cafe - Lemon Tree Premier","North Indian, Continental, Chinese",Gurgaon,77.0648668,28.4676295,26.000,3.2
"Ammu's South Indian Restaurant","South Indian",Gurgaon,77.0809099,28.4734916,3.900,2.8
Barista,Cafe,Gurgaon,77.1023726,28.4805404,8.450,3.3
"Bengali By Nature","Fast Food, Chinese, Bengali",Gurgaon,77.0827529,28.4766191,5.200,3.3
"Burger Planet","North Indian, Chinese, Fast Food",Gurgaon,77.085001,28.4771042,3.900,3.2
"Cafe Coffee Day",Cafe,Gurgaon,77.0802349,28.4797836,5.850,3.1
"Chini Bowl","Chinese, Thai, Japanese, Tibetan",Gurgaon,77.0761927,28.476072,10.400,2.8
"E Yum","Continental, Italian, Mexican",Gurgaon,77.10031841,28.47773187,9.750,3.4
"Handi X-Press","North Indian, Chinese, Mughlai",Gurgaon,77.0828835,28.4761607,7.150,3.2
"Ion Club & Dining Lounge","Continental, North Indian, Mughlai, Chinese",Gurgaon,77.088598,28.479691,23.400,2.6
Komachi,Japanese,Gurgaon,77.0731066,28.4776351,15.600,3.2
Mehfil-e-Handi,"North Indian, Chinese, Mughlai",Gurgaon,77.0829327,28.4760986,5.200,2.8
Mezbaan's,"North Indian, Mughlai, Chinese",Gurgaon,77.0823932,28.4757777,7.800,2.7
"Mini Mahal Delux","North Indian, Chinese",Gurgaon,77.0805946,28.4787425,15.600,2.8
"Pita Pan","Arabian, Lebanese",Gurgaon,77.0803248,28.4805094,7.800,3.1
"SBar Club & Lounge","Finger Food",Gurgaon,77.0902166,28.4796672,28.600,3.1
"China Club","Chinese, Asian",Gurgaon,77.1020369,28.4800544,26.000,3.8
"Coriander Leaf","Mughlai, Pakistani, North Indian",Gurgaon,77.0811126,28.4775699,20.800,3.8
Doughlicious,"Bakery, Desserts, Fast Food",Gurgaon,77.1026087,28.4806694,7.150,3.6
FreshMenu,"Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",Gurgaon,77.0820362,28.4800592,7.800,3.7
L'Angoor,"American, Seafood, Italian, Japanese, Thai",Gurgaon,77.1020768,28.4806041,32.500,3.5
"The Cakelicious Factory","Bakery, Desserts, Fast Food",Gurgaon,77.0963632,28.4821819,2.600,3.6
Green's,"Chinese, North Indian, South Indian, Street Food",Gurgaon,77.0824381,28.4757372,4.550,2.3
"New Zaika","North Indian, Chinese",Gurgaon,77.0692631,28.477294,7.800,2.4
"Love Is Cakes",Bakery,Gurgaon,77.0935886,28.4726847,7.800,4.1
"Costa Coffee",Cafe,Gurgaon,77.0894073,28.4798584,7.800,3.3
Uforia,"Continental, Asian, North Indian, Italian",Gurgaon,77.0892274,28.4798411,19.500,3.5
"Vapour Pub & Brewery","Finger Food, Continental, North Indian, Italian, Chinese",Gurgaon,77.0892792,28.4798031,19.500,3.7
"Pirates of Grill","North Indian, Continental, Mughlai, Asian",Gurgaon,77.0893563,28.4799415,26.000,4.1
"Barista Creme Lavazza",Cafe,Gurgaon,77.0823932,28.4785568,8.450,3.2
"Frozen Adda","Ice Cream, Desserts",Gurgaon,77.0816737,28.4784876,4.550,3
McDonald's,"Fast Food, Burger",Gurgaon,77.0818967,28.479447,6.500,3.2
"Mr Idli Xpress","South Indian, Chinese",Gurgaon,77.0817187,28.4792539,5.850,2.6
bu刺no,"Cafe, American, Desserts, Italian, Bakery",Gurgaon,77.0816737,28.478398,8.450,3.7
Starbucks,Cafe,Gurgaon,77.0818667,28.4791426,9.100,3.5
"Al Kabab","North Indian, Mughlai",Gurgaon,77.0803248,28.4803301,10.400,2.7
"Bangkok 1",Thai,Gurgaon,77.0802124,28.4802521,7.150,3.3
Barista,Cafe,Gurgaon,77.0800708,28.4809987,8.450,3.4
"Cafe Cravings","Cafe, Italian",Gurgaon,77.0802574,28.481108,7.800,3.4
"Hello Sichuan",Chinese,Gurgaon,77.0802215,28.4806523,9.750,2.9
McDonald's,"Fast Food, Burger",Gurgaon,77.0800417,28.4803729,6.500,3.4
Rajasthali,"Gujarati, Rajasthani",Gurgaon,77.0802124,28.4808348,9.750,2.9
"Street Foods by Punjab Grill","Street Food, North Indian",Gurgaon,77.0803248,28.4803301,9.100,2.6
Subway,"American, Fast Food, Salad, Healthy Food",Gurgaon,77.0802124,28.4804762,6.500,3.3
"Tibb's Frankie","Fast Food",Gurgaon,77.0801851,28.4803207,4.550,3.4
"Tunday Kababi Dastarkhwan-e-Awadh","Mughlai, North Indian",Gurgaon,77.08040039,28.48028198,9.100,3.1
"Dunkin' Donuts","Burger, Desserts, Fast Food",Gurgaon,77.0802349,28.4807697,7.800,3.7
Haldiram's,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",Gurgaon,77.0802798,28.4807292,7.800,3.6
Keventers,Beverages,Gurgaon,77.0802349,28.4807697,5.200,3.6
"Khaaja Chowk","North Indian, Mughlai, South Indian, Rajasthani, Street Food",Gurgaon,77.0801711,28.4805322,13.000,3.6
Phantom,"North Indian, Continental, Chinese",Gurgaon,77.0802349,28.4808594,19.500,3.5
Sage,"Pizza, Italian",Gurgaon,77.0801226,28.4805204,11.700,3.5
"TGI Friday's","American, Tex-Mex",Gurgaon,77.0801187,28.4810064,32.500,3.7
"The Belgian Fries Company","European, American, Street Food",Gurgaon,77.0801674,28.4802478,5.200,3.7
"The Grills King","North Indian, Chinese, Continental",Gurgaon,77.0803727,28.4808767,18.200,3.8
"Chicago Pizza",Pizza,Gurgaon,77.080144,28.4803174,7.800,2.3
"Suburbia - The Empire","Continental, European, North Indian",Gurgaon,77.0802349,28.4811283,23.400,2.1
"Viva Hyderabad","Biryani, North Indian",Gurgaon,77.0802124,28.4803866,7.800,2.3
"Queens Caf刺","Cafe, North Indian",Gurgaon,77.0801793,28.4805091,11.700,4
"Cafe Coffee Day",Cafe,Gurgaon,77.0412894,28.4166832,5.850,3.3
"FOA - The Flavours of Arabia","Lebanese, North Indian",Gurgaon,77.0413756,28.4167026,19.500,3.4
A1,Biryani,Gurgaon,77.0204947,28.4669375,2.600,3
"Apni Rasoi","North Indian",Gurgaon,77.0129534,28.4841816,5.200,2.9
"DBDN Deena Meat Vala","North Indian",Gurgaon,77.026849,28.4569872,6.500,3.2
"Deep Chicken Corner","North Indian",Gurgaon,77.0206596,28.4667157,6.500,3.2
"Dilli Rasoi","North Indian, Mughlai, Chinese",Gurgaon,77.0203953,28.4667607,9.100,3.2
"French Omelette","Fast Food",Gurgaon,77.0204174,28.4668549,1.300,3.2
"Green Chick Chop","Raw Meats, North Indian, Fast Food",Gurgaon,77.0189174,28.4709408,4.550,2.9
"Hangout Cafe","Fast Food, Chinese",Gurgaon,77.0196893,28.4653555,2.600,3.4
"Hari Om Rasoi","North Indian",Gurgaon,77.0178663,28.4603933,5.200,3.2
"Harish Phulwari","North Indian, South Indian, Fast Food, Street Food, Mithai",Gurgaon,77.0274904,28.4580309,7.800,3.1
"Hotel Rajvanshi Restaurant","North Indian, Chinese",Gurgaon,77.022202,28.4645876,7.800,3.3
"Jagdish Vaishno Dhaba","North Indian",Gurgaon,77.0181934,28.473084,1.950,3.1
"JVR Jayka","North Indian",Gurgaon,77.0182331,28.4730183,2.600,2.9
Kaza,"North Indian, Mughlai, South Indian, Chinese",Gurgaon,77.0136942,28.4823394,13.000,3.1
"Knight Delight Kafe","Fast Food, Chinese",Gurgaon,77.0141435,28.4810609,6.500,2.6
"Ko Jitters","Fast Food, Beverages",Gurgaon,77.0166864,28.4678506,5.850,3
"Laajawab Chaap Express","North Indian",Gurgaon,77.0175175,28.4674068,3.250,3.1
"Laddu Gopal","North Indian, South Indian, Chinese",Gurgaon,77.0193016,28.4713437,5.200,3
"Mini's Royal Cafe","North Indian, Chinese",Gurgaon,77.0136441,28.4670202,6.500,3.3
Pakwan,"North Indian, Chinese",Gurgaon,77.0189082,28.4712555,5.200,3.4
Patiala,"Mughlai, Chinese",Gurgaon,77.0204469,28.4667702,7.800,3.4
"Pind Balluchi","North Indian, Mughlai",Gurgaon,77.0221359,28.4639996,10.400,2.7
"Pizza Man","Pizza, Fast Food",Gurgaon,77.0186408,28.4721483,5.200,2.9
"Punjabi Dhani","North Indian",Gurgaon,77.0193636,28.470213,9.100,3.2
"Raju Halwai","North Indian",Gurgaon,77.0179074,28.4603566,5.850,3.1
"Rupa Tikki Wala And Caterers","Street Food",Gurgaon,77.023212,28.4626082,1.950,2.8
"Samrat The Cake Shoppe","Bakery, Desserts, Fast Food",Gurgaon,77.0259078,28.4597556,1.950,3
Samrat,"Bakery, Mithai, Fast Food",Gurgaon,77.0259899,28.4598188,5.200,2.9
"Sanjha Chula","North Indian",Gurgaon,77.0200512,28.4570545,9.100,3
"Silver Crown","North Indian, Chinese, Street Food, Fast Food",Gurgaon,77.0191832,28.4669487,6.500,2.5
"Super Bakery","Bakery, Fast Food, Chinese",Gurgaon,77.0247842,28.4609586,3.250,3.3
"The Chic","Fast Food",Gurgaon,77.0187625,28.470938,2.600,3
"Unique Bus Wales",Chinese,Gurgaon,77.0175382,28.467287,2.600,2.8
"Dilli 6 Express","North Indian, Mughlai",Gurgaon,77.0203817,28.4667732,7.150,3.5
"Mangle Di Kulfi","Ice Cream, Desserts",Gurgaon,77.0168909,28.4655014,1.300,3.6
"The Oven Artist",Bakery,Gurgaon,77.0157175,28.4652054,10.400,3.5
"Bal Ji Rasoi","North Indian",Gurgaon,77.0179026,28.460487,3.900,0
"Dakshin Bistro","South Indian, Biryani",Gurgaon,0,0,7.800,0
"Metro Dhaba","North Indian",Gurgaon,77.0277668,28.4579956,1.950,0
"Sukhman Food City","North Indian",Gurgaon,77.0212272,28.4688983,2.600,0
"The Burger Hub","Burger, Fast Food, Chinese",Gurgaon,77.0161752,28.4681772,3.900,0
"Pizza Hut Delivery","Italian, Pizza, Fast Food",Gurgaon,77.0432685,28.4109555,10.400,2.2
"Hot Cherries",Bakery,Gurgaon,77.0433584,28.4106951,5.200,3.6
"Domino's Pizza","Pizza, Fast Food",Gurgaon,77.0431785,28.4113952,9.100,2.4
"Coldpress Company","Healthy Food, Juices, Salad, Italian, Continental",Gurgaon,77.0435383,28.4105331,6.500,4.1
"Hahn's Kitchen",Korean,Gurgaon,77.09791951,28.45112282,23.400,3.2
"Shree Rathnam","South Indian, North Indian",Gurgaon,77.0974101,28.4511301,10.400,3.4
"Caffe Tonino","Italian, Pizza, Cafe",Gurgaon,77.0974101,28.4511301,18.200,3.8
"Carl's Jr.","Burger, American, Fast Food",Gurgaon,77.0971403,28.4508352,8.450,3.5
"Delhi Club House","North Indian, Continental, Asian",Gurgaon,77.0968183,28.4514834,22.100,3.9
GoGourmet,"Healthy Food, Beverages",Gurgaon,77.0975899,28.4511473,7.800,3.7
"Shophouse by Kylin","Japanese, Chinese, Thai",Gurgaon,77.0972691,28.4506618,19.500,3.5
Starbucks,Cafe,Gurgaon,77.09822863,28.45109776,9.100,3.5
"Baskin Robbins","Ice Cream",Gurgaon,77.0378999,28.5125527,3.900,3.1
"Bikaner Sweets & Restaurant","Street Food, North Indian, Mithai",Gurgaon,77.0352809,28.5145359,4.550,3.1
"Burger Bites & More","Fast Food, Chinese",Gurgaon,77.0203837,28.4939088,5.850,2.9
"Caf刺 Gramophone","Cafe, Fast Food",Gurgaon,77.0210472,28.496845,9.100,3.2
"Chawla Bakers","Bakery, Street Food",Gurgaon,77.030404,28.502947,2.600,3.2
"Crust N Cakes",Bakery,Gurgaon,77.0362376,28.5037904,7.150,3.2
"Darjeeling Kanchanjanga Momos","Chinese, Fast Food",Gurgaon,77.0409296,28.5118498,2.600,2.9
"Desserts 83",Desserts,Gurgaon,77.0436219,28.5216917,2.600,3.2
"Express Kitchen","North Indian, Chinese",Gurgaon,0,0,7.800,2.9
Giani's,"Ice Cream, Desserts",Gurgaon,77.0347314,28.5150103,5.200,3.1
Hangover,"North Indian, Chinese",Gurgaon,77.0199219,28.4865257,10.400,2.7
"Sangam Sweets","Street Food, Mithai, South Indian, North Indian, Chinese",Gurgaon,77.0373642,28.5176801,3.250,2.5
"Shree Bikaner Misthan Bhandar","Mithai, Street Food, Chinese",Gurgaon,77.0302241,28.5029296,3.900,3
"Shree Shyam Rasoi","North Indian",Gurgaon,77.0336712,28.5034359,4.550,3.1
"Swad On Grill","Continental, Chinese, North Indian, Mughlai",Gurgaon,77.037902,28.5125468,5.200,3.1
"The Pepper's","North Indian, Mughlai, Chinese",Gurgaon,77.0394717,28.5119564,3.250,3
"Anisha Restaurant","North Indian, Mughlai",Gurgaon,77.0319416,28.5033789,5.200,0
"Annapoorna Foods","North Indian, Mughlai, South Indian",Gurgaon,77.0308638,28.5089193,7.800,0
"Bakelicious 18","Bakery, Desserts",Gurgaon,77.0351721,28.5145201,5.850,0
"Bansiwala Bakery","Bakery, Fast Food",Gurgaon,77.0196076,28.4857718,2.600,0
"Bansiwala Rasoi","Street Food",Gurgaon,77.0198157,28.4859312,3.900,0
"Bansiwala Sweets","Street Food, Mithai",Gurgaon,77.0197677,28.4859483,1.300,0
"Best Pizza Hut","Fast Food",Gurgaon,77.0093235,28.4921812,4.550,0
"Bikaner Sweets & Restaurant","North Indian, Street Food, Mithai",Gurgaon,77.024736,28.5144976,2.600,0
"Chaska Food Corner","Chinese, North Indian",Gurgaon,77.0225318,28.497571,9.100,0
Chulha,"North Indian, Mughlai, Awadhi",Gurgaon,0,0,6.500,0
"Dev Restaurant","North Indian, Chinese",Gurgaon,77.02189766,28.49841367,7.800,0
Dietpoint,"Chinese, North Indian",Gurgaon,77.025184,28.5142695,7.800,0
"Gautam Bakery","Bakery, Fast Food",Gurgaon,77.02152,28.4959225,1.950,0
"Honey Hot & Spicy","North Indian, Chinese",Gurgaon,0,0,3.250,0
"Hot & Spicy","North Indian, Chinese, South Indian, Fast Food",Gurgaon,77.0252309,28.5118122,5.850,0
"Hot Fork","Chinese, Fast Food",Gurgaon,77.0313937,28.5091367,5.200,0
"Icon Foods","North Indian, South Indian, Chinese",Gurgaon,0,0,7.800,0
"Indochi Cafe & Restaurant","North Indian, Mughlai, Chinese",Gurgaon,77.0411995,28.512055,5.200,0
"Love to Wish","Bakery, Desserts",Gurgaon,77.0378566,28.5125685,2.600,0
"M Cr作me","Bakery, Desserts",Gurgaon,77.04251687,28.52068371,9.100,0
"Mamta Tiffin Service","North Indian",Gurgaon,0,0,1.950,0
"Panther Restaurant","North Indian, Chinese",Gurgaon,77.0283498,28.5019693,7.800,0
"Pizza King","Pizza, Fast Food",Gurgaon,77.01025,28.4936502,7.800,0
"Radha Swami Shudh Vaishno Dhaba","North Indian",Gurgaon,77.0196062,28.4877231,3.900,0
"RD's Authentic Aroma","North Indian, South Indian, Chinese",Gurgaon,77.0203724,28.4946737,5.850,0
Savour,Biryani,Gurgaon,77.0386974,28.51231235,3.250,0
"Sheetla Dhaba","North Indian",Gurgaon,77.0358272,28.5033611,5.200,0
"Shree Bikaner Mishthan Bhandar",Mithai,Gurgaon,77.0194842,28.4860462,6.500,0
"Shree Shyam Bhojnalaya","North Indian",Gurgaon,77.0197876,28.4875817,4.550,0
"Shristi Happy Eats","Street Food",Gurgaon,77.0410645,28.5120868,1.950,0
"Singh Terrace Grill","North Indian",Gurgaon,77.03139368,28.50913665,6.500,0
"Swami Vaishno Dhaba","North Indian",Gurgaon,77.0196976,28.4890966,3.900,0
"Wah Ji Wah","North Indian",Gurgaon,77.0219634,28.4968821,5.200,0
"Cafe 55 - Park Inn","Continental, North Indian, Chinese",Gurgaon,77.0318264,28.4590795,19.500,3.2
"New Town Lounge & Bar - Park Plaza","Continental, Finger Food",Gurgaon,77.0756484,28.4592611,39.000,3.4
"New Town Pastry Shop - Park Plaza","Bakery, Desserts",Gurgaon,77.0757697,28.4592519,15.600,3.2
"New Town Cafe - Park Plaza","Continental, American, North Indian, Chinese",Gurgaon,77.0757094,28.4592449,28.600,3.7
"The Great Kabab Factory - Park Plaza","North Indian, Mughlai",Gurgaon,77.075722,28.4592314,39.000,3.7
"K2 Restaurant","Korean, Chinese",Gurgaon,77.0730853,28.4777065,26.000,3
"Angels in my Kitchen","Bakery, Desserts, Fast Food",Gurgaon,77.1019957,28.4722814,4.550,3.1
Barista,Cafe,Gurgaon,77.1022778,28.4715146,8.450,3.3
"Cafe Coffee Day",Cafe,Gurgaon,77.1017259,28.4718072,5.850,2.8
"Cafe Naklee",Cafe,Gurgaon,77.1021755,28.4720297,5.200,3.2
"Chacha's Take Away","North Indian, Mughlai",Gurgaon,77.1020406,28.4718823,9.100,2.8
"Colonel's Kababz","North Indian, Mughlai",Gurgaon,77.1018865,28.4725209,11.700,3
"Domino's Pizza","Pizza, Fast Food",Gurgaon,77.1024452,28.4719659,9.100,2.8
"Green Chick Chop","Raw Meats, North Indian, Fast Food",Gurgaon,77.1022654,28.472128,4.550,2.8
"Naushi's Kitchenette","Bakery, Beverages",Gurgaon,77.10254565,28.47211841,6.500,3.4
"Sapra Pastry Treat","Bakery, Fast Food",Gurgaon,77.1022654,28.4720383,3.250,3
Subway,"American, Fast Food, Salad, Healthy Food",Gurgaon,77.1024003,28.4715582,6.500,3.2
"Sunny Sweets","Mithai, Street Food",Gurgaon,77.1017259,28.4715383,2.600,3.3
"The Healthy Rasoi","Healthy Food, North Indian, Beverages",Gurgaon,77.1018159,28.4713676,6.500,3.7
"Burger King","Burger, Fast Food",Gurgaon,77.0392029,28.4237354,6.500,3
"Hong Kong Express","Chinese, Thai",Gurgaon,77.0395802,28.4234228,9.100,3.2
"Viva Hyderabad","Biryani, North Indian",Gurgaon,77.0394902,28.4234142,7.800,2.3
"Cafe Rouge - Ramada","North Eastern, Continental, South Indian, Fast Food",Gurgaon,77.0706524,28.4497396,19.500,3.5
"Shamji Sweets",Mithai,Gurgaon,77.0268394,28.4596657,2.600,3.2
"Sialkoti Vaishno Dhaba","North Indian",Gurgaon,77.0313172,28.4623451,3.250,3.1
Haldiram's,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",Gurgaon,77.0868894,28.4797958,7.800,3.6
"Club Prison","Finger Food",Gurgaon,77.0865747,28.4797207,23.400,2.4
"Maa Bhagwati Tiffins","North Indian",Gurgaon,77.0324732,28.4636195,2.600,3
"Spices & Sauces","North Indian, Continental",Gurgaon,77.0324282,28.4637496,19.500,3
"Indian Food Cafe","North Indian",Gurgaon,77.0338596,28.4675057,6.500,0
"Assam Tea Corner","Chinese, Street Food",Gurgaon,77.0404135,28.4755199,1.950,2.8
Bakingo,Bakery,Gurgaon,77.0441684,28.4706936,5.200,3
"Balaji Sweets & Snacks","North Indian, South Indian, Chinese",Gurgaon,77.0348123,28.476036,5.200,2.9
"Baxman Delivers","North Indian, Chinese, Fast Food, Desserts",Gurgaon,0,0,10.400,2.9
"Burger Point","Burger, Fast Food",Gurgaon,77.0483361,28.4735491,3.900,3.2
"Burger Xpress","Fast Food",Gurgaon,77.0476105,28.4745207,3.900,3.1
"Cafe Coffee Day",Cafe,Gurgaon,77.046327,28.4775051,5.850,2.8
"Cake Factory","Bakery, Desserts",Gurgaon,77.0204025,28.4703517,3.900,3.3
"Cake Maker","Street Food, Bakery",Gurgaon,77.0424008,28.4741041,2.600,3
"Captain's Table","Bakery, Desserts",Gurgaon,77.0474607,28.4740266,2.600,3.1
Carpedium,"Bakery, Desserts",Gurgaon,77.0475174,28.474015,2.600,3.1
"Chef Sack Kitchen","Mexican, Lebanese, Italian, Continental, Thai",Gurgaon,0,0,6.500,3.1
"Chinar Junction","North Indian, Chinese",Gurgaon,77.04808339,28.48038451,7.800,2.8
Frontier,Bakery,Gurgaon,77.0424589,28.4739949,2.600,2.9
"Ganpati Rasoi","North Indian",Gurgaon,0,0,2.600,3.2
"Indian & Chinese Corner","North Indian, Chinese",Gurgaon,77.048056,28.4730599,5.200,3.1
"Juice Lounge","Beverages, Fast Food",Gurgaon,77.0445066,28.4694139,4.550,3.4
"KB's Kulfi & Icecream","Ice Cream",Gurgaon,77.0494753,28.4822008,2.600,3.3
"KB's Kulfi & Icecream","Ice Cream",Gurgaon,77.0439881,28.4754869,2.600,3.3
Keventers,Beverages,Gurgaon,77.0481041,28.4736495,3.250,2.6
KFC,"American, Fast Food, Burger",Gurgaon,77.047405,28.4740886,6.500,2.7
"Madras Cafe","South Indian, North Indian, Chinese, Fast Food",Gurgaon,77.0456073,28.476629,3.900,3.3
"Madurai Meenakshi Bhawan","South Indian, North Indian",Gurgaon,77.0473507,28.4740911,3.900,3.4
"Masala Fusion","North Indian, Chinese",Gurgaon,77.0424589,28.4740845,7.800,3.2
"Moti Mahal Delux Tandoori Trail","North Indian, Continental",Gurgaon,77.0351491,28.4665409,10.400,2.9
"Mr. & Mrs. Idly","South Indian, Chinese",Gurgaon,0,0,5.200,3
"Pind Bawarchi","North Indian, Chinese",Gurgaon,77.0482744,28.4728921,7.800,3.1
"Republic of Chicken","Raw Meats, Fast Food",Gurgaon,77.0484406,28.4736075,5.200,2.8
"Ridhi Sidhi","North Indian, Chinese, South Indian",Gurgaon,77.020392,28.4703532,6.500,3
"Romi Da Dhaba","North Indian",Gurgaon,77.0432685,28.4750589,5.850,3.2
"Shamji Sweets","Mithai, South Indian, Chinese, Street Food, North Indian",Gurgaon,77.0394496,28.4702133,7.800,2.9
"Six Pack Kitchen","Healthy Food, Continental",Gurgaon,77.0453042,28.4699753,7.800,3.2
"Taste of Dilli 6","Chinese, North Indian",Gurgaon,77.0474907,28.4749637,8.450,2.7
"The Guls","North Indian",Gurgaon,77.0349543,28.4768261,8.450,3
"The League Restaurant","North Indian, Chinese",Gurgaon,77.0432685,28.4751486,11.700,3.1
"The Plaza Solitaire","North Indian, Mughlai, Chinese, South Indian",Gurgaon,77.044168,28.4751457,11.700,3.3
"Uttarakhand Fast Food","North Indian",Gurgaon,77.0363305,28.4758641,2.600,2.9
"Viva Hyderabad","Biryani, North Indian",Gurgaon,77.0445955,28.4764122,7.800,2.5
"Wahid Food Corner","North Indian",Gurgaon,77.0347763,28.4758171,5.200,2.8
"Zync - Rosewood Hotel","North Indian, Chinese, Continental",Gurgaon,77.037225,28.46715278,13.000,3
"Konetto Pizza",Pizza,Gurgaon,77.0462096,28.4783985,1.950,3.5
"South Store","South Indian",Gurgaon,77.0475378,28.4743176,2.600,3.5
"Grill & Cafe","Chinese, Mughlai, North Indian",Gurgaon,77.0404798,28.4662742,7.800,0
"Gurgaon Mughlai Chicken","North Indian, Mughlai",Gurgaon,77.0351435,28.4771621,4.550,0
"Mughal Chicken Corner","North Indian, Mughlai",Gurgaon,77.0349588,28.4786503,6.500,0
"Oven Aroma",Bakery,Gurgaon,77.0495364,28.4823461,5.200,0
"Radha Swami Shudh Vaishno Dhaba","North Indian",Gurgaon,77.0384802,28.4756545,4.550,0
"Special No.1 Biryani Corner",Mughlai,Gurgaon,77.0444379,28.4762474,9.100,0
"Sun Sweets Restaurant","Street Food, Mithai, North Indian, South Indian, Chinese",Gurgaon,77.0335214,28.464266,5.200,0
"Captain Bill$ Deliverz","North Indian, Chinese, Fast Food",Gurgaon,77.0476588,28.4738648,13.000,2.4
"China Hut","Chinese, Fast Food",Gurgaon,77.0376289,28.4758573,3.900,2.4
"G Dot","North Indian, South Indian, Chinese",Gurgaon,77.0338227,28.4785399,5.200,2.4
Cake2you,"Bakery, Desserts",Gurgaon,77.0371148,28.4579792,5.200,3
"Delight Express","Chinese, North Indian",Gurgaon,77.0435543,28.4583117,5.200,2.9
Empress,"North Indian, Chinese",Gurgaon,77.033231,28.4568511,13.000,2.9
"Hotel DDR","North Indian, Chinese, Mughlai",Gurgaon,77.0344852,28.4588673,6.500,2.8
"Khan Kabab Corner","Mughlai, North Indian",Gurgaon,77.0380952,28.4555436,6.500,3
"Kwality Cakes and Bakes","Bakery, Desserts, Fast Food",Gurgaon,77.0381307,28.4555152,4.550,3.2
"Nite Bites","North Indian, Chinese, Continental",Gurgaon,77.041878,28.460253,8.450,2.9
"Oriental Kitchen Express","Chinese, Thai",Gurgaon,77.0367474,28.4577727,5.850,3.3
"Royal Mart","Bakery, Fast Food",Gurgaon,77.0390954,28.4544096,3.900,2.9
"Sikkim Fast Food",Chinese,Gurgaon,77.0435095,28.4584547,4.550,2.7
ZASTY,"Continental, North Indian, Asian",Gurgaon,0,0,6.500,3.5
"Maachh Bhaat",Oriya,Gurgaon,77.0609808,28.4950876,7.800,3.4
ANTIDOTE,Beverages,Gurgaon,0,0,5.200,0
"Bablu Fast Food",Chinese,Gurgaon,77.0633149,28.4978576,3.900,0
"Bikaner Sweets Snacks & Restaurant","Bakery, Chinese, North Indian",Gurgaon,77.0671006,28.4906203,3.250,0
"Bikaner Sweets","North Indian, Street Food, Mithai",Gurgaon,77.056052,28.4890258,4.550,0
"Biryani & Rolls","North Indian",Gurgaon,77.0580477,28.4777059,5.200,0
"Cafe Coffee Day",Cafe,Gurgaon,0,0,5.850,0
"Chefy's Kitchen","Biryani, Pizza, Fast Food, Healthy Food",Gurgaon,0,0,5.200,0
"Delight Express","Raw Meats, North Indian, Chinese",Gurgaon,77.0610203,28.4780353,5.200,0
"Dilli Rasoi","North Indian",Gurgaon,77.057516,28.4879806,2.600,0
"Dujal Cafe",Chinese,Gurgaon,77.0608014,28.4776466,3.250,0
"Full Dabba","North Indian, South Indian",Gurgaon,77.0633585,28.4978501,3.900,0
"HSI Food World","North Indian, Chinese",Gurgaon,77.0670595,28.4772163,7.800,0
"Krishna Restaurant","North Indian, South Indian, Chinese, Fast Food",Gurgaon,77.0616195,28.4756552,6.500,0
